KEGG_ID	SMILES
C00491	CCC1C(COC1=O)CC2=CC=CN2C
C00111	C1=NC(=O)C2=NNC(=C2N1)C3C(C(C(O3)CO)O)O
C00234	CC(=NCCSCCC(C(=O)O)N)N
C01412	CCCCC(C)CC(C=CC1C(CC(=O)C1CC(=O)CCCCC(=O)OC)O)O
C00011	CC1C(CCC(N1C)(C)C)OC(=O)C(C2=CC=CC=C2)O
C00026	CC(=CCCC(=CCCC(=CCSCC(=O)O)C)C)C
C00387	CC(C)(CC1=CC=CC=C1)NC
C00018	CC12CC(=O)NC13CC4C(C(C(=N4)CC5=C(C6=C(N5)C(=C7C(C(C(=CC(C2CCC(=O)O)N3)N7)CC(=O)O)CCC(=O)O)C(=O)CC6)CC(=O)O)(C)CC(=O)N)CCC(=O)O
C01508	CC(C1C2CC(=C(N2C1=O)C(=O)O)SC3CCN(C3)C(=N)C)O
C05512	C#CCO
C00134	C1COCCN1CC2CN(C(=O)O2)N=CC3=CC=C(O3)[N+](=O)[O-]
C00897	CN(C1=CC=C(C=C1)C=CC(=O)NO)S(=O)(=O)C2=CC=CC=C2
C00208	C=CCC(C=O)C1CCCC1O
C05629	COC(=O)CC(=O)OC
C00236	C1=CC(=CC2C1NC(=O)C2=CC3=CC(=C(C(=C3)Br)O)Br)I
C04043	CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C
C00070	CC(=O)OCC(=O)C1(CCC2C1(CC(C3(C2CCC4=CC(=O)CCC43C)F)O)C)O
C00255	CSCCC1C(=O)N2CCCC2C(=O)NC(C3=NC(=CS3)C(=O)NC(C(=O)N4CCCC4C(=O)N5CCCC5C(=O)N1)CCSC)CC6=CC=CC=C6
C00580	CCCCS(=N)(=O)CCC(C)(C(=O)O)N
C00491	CCC1C(COC1=O)CC2=CC=CN2C
C01094	CC(C)C(C(=O)NC(CC(=O)O)C(=O)NC1=CC=C(C=C1)[N+](=O)[O-])NC(=O)C(CCC(=O)O)NC(=O)C(CC(=O)O)NC(=O)C
